"survey_id","country","package","wtp","sos","info","own","own.fisher","own.industry","own.gov","own.public","STR","RES","ASC","noalt"
3028,NA,1,0,"0","0","2","0","1","0","0",50001,0,1,3
3029,"IND",16,10,"0","0","3","0","0","1","0",51001,1,1,3
3029,NA,13,0,"1","0","2","0","1","0","0",51001,0,1,3
3029,NA,0,0,"0","0","0","0","0","0","0",51002,0,0,3
3030,"IND",2,10,"1","0","3","0","0","1","0",52001,1,1,3
3030,NA,1,0,"0","0","2","0","1","0","0",52001,0,1,3
3030,NA,0,0,"0","0","0","0","0","0","0",52002,0,0,3
3031,"IND",9,10,"1","1","3","0","0","1","0",53001,1,1,3
3031,NA,13,0,"1","0","2","0","1","0","0",53001,0,1,3
3031,NA,0,0,"0","0","0","0","0","0","0",53002,0,0,3
3032,"IND",12,15,"1","0","1","1","0","0","0",54001,1,1,3
3032,NA,1,0,"0","0","2","0","1","0","0",54001,0,1,3
3032,NA,0,0,"0","0","0","0","0","0","0",54002,0,0,3
3033,"IND",2,10,"1","0","3","0","0","1","0",55001,1,1,3
3033,NA,1,0,"0","0","2","0","1","0","0",55001,0,1,3
3033,NA,0,0,"0","0","0","0","0","0","0",55002,0,0,3
3034,"IND",0,0,"0","0","0","0","0","0","0",56002,1,0,3
3034,NA,2,0,"1","0","3","0","0","1","0",56001,0,1,3
3034,NA,8,0,"0","0","4","0","0","0","1",56001,0,1,3
3035,"IND",0,0,"0","0","0","0","0","0","0",57002,1,0,3
3035,NA,3,0,"0","0","1","1","0","0","0",57001,0,1,3
3035,NA,4,0,"1","1","4","0","0","0","1",57001,0,1,3
3036,"IND",4,10,"1","1","4","0","0","0","1",58001,1,1,3
3036,NA,3,0,"0","0","1","1","0","0","0",58001,0,1,3
3036,NA,0,0,"0","0","0","0","0","0","0",58002,0,0,3
3037,"IND",11,10,"1","0","4","0","0","0","1",59001,1,1,3
3037,NA,5,0,"0","1","4","0","0","0","1",59001,0,1,3
3037,NA,0,0,"0","0","0","0","0","0","0",59002,0,0,3
3038,"IND",0,0,"0","0","0","0","0","0","0",60002,1,0,3
3038,NA,6,0,"0","1","3","0","0","1","0",60001,0,1,3
3038,NA,7,0,"1","1","1","1","0","0","0",60001,0,1,3
3039,"IND",0,0,"0","0","0","0","0","0","0",61002,1,0,3
3039,NA,7,0,"1","1","1","1","0","0","0",61001,0,1,3
3039,NA,16,0,"0","0","3","0","0","1","0",61001,0,1,3
3040,"IND",0,0,"0","0","0","0","0","0","0",62002,1,0,3
3040,NA,8,0,"0","0","4","0","0","0","1",62001,0,1,3
3040,NA,3,0,"0","0","1","1","0","0","0",62001,0,1,3
3041,"IND",9,5,"1","1","3","0","0","1","0",63001,1,1,3
3041,NA,6,0,"0","1","3","0","0","1","0",63001,0,1,3
3041,NA,0,0,"0","0","0","0","0","0","0",63002,0,0,3
3042,"IND",14,10,"1","1","2","0","1","0","0",64001,1,1,3
3042,NA,10,0,"0","1","2","0","1","0","0",64001,0,1,3
3042,NA,0,0,"0","0","0","0","0","0","0",64002,0,0,3
3043,"IND",11,5,"1","0","4","0","0","0","1",65001,1,1,3
3043,NA,5,0,"0","1","4","0","0","0","1",65001,0,1,3
3043,NA,0,0,"0","0","0","0","0","0","0",65002,0,0,3
3044,"IND",12,5,"1","0","1","1","0","0","0",66001,1,1,3
3044,NA,1,0,"0","0","2","0","1","0","0",66001,0,1,3
3044,NA,0,0,"0","0","0","0","0","0","0",66002,0,0,3
3045,"IND",9,5,"1","1","3","0","0","1","0",67001,1,1,3
3045,NA,13,0,"1","0","2","0","1","0","0",67001,0,1,3
3045,NA,0,0,"0","0","0","0","0","0","0",67002,0,0,3
3046,"IND",0,0,"0","0","0","0","0","0","0",68002,1,0,3
3046,NA,14,0,"1","1","2","0","1","0","0",68001,0,1,3
3046,NA,12,0,"1","0","1","1","0","0","0",68001,0,1,3
3047,"IND",0,0,"0","0","0","0","0","0","0",69002,1,0,3
3047,NA,4,0,"1","1","4","0","0","0","1",69001,0,1,3
3047,NA,15,0,"0","1","1","1","0","0","0",69001,0,1,3
3048,"IND",7,5,"1","1","1","1","0","0","0",70001,1,1,3
3048,NA,6,0,"0","1","3","0","0","1","0",70001,0,1,3
3048,NA,0,0,"0","0","0","0","0","0","0",70002,0,0,3
3049,"IND",4,0,"1","1","4","0","0","0","1",71001,1,1,3
3049,NA,15,0,"0","1","1","1","0","0","0",71001,0,1,3
3049,NA,0,0,"0","0","0","0","0","0","0",71002,0,0,3
3050,"IND",12,5,"1","0","1","1","0","0","0",72001,1,1,3
3050,NA,14,0,"1","1","2","0","1","0","0",72001,0,1,3
3050,NA,0,0,"0","0","0","0","0","0","0",72002,0,0,3
3051,"IND",0,0,"0","0","0","0","0","0","0",73002,1,0,3
3051,NA,4,0,"1","1","4","0","0","0","1",73001,0,1,3
3051,NA,15,0,"0","1","1","1","0","0","0",73001,0,1,3
3052,"IND",3,0,"0","0","1","1","0","0","0",74001,1,1,3
3052,NA,8,0,"0","0","4","0","0","0","1",74001,0,1,3
3052,NA,0,0,"0","0","0","0","0","0","0",74002,0,0,3
3053,"IND",7,0,"1","1","1","1","0","0","0",75001,1,1,3
3053,NA,6,0,"0","1","3","0","0","1","0",75001,0,1,3
3053,NA,0,0,"0","0","0","0","0","0","0",75002,0,0,3
3054,"IND",2,0,"1","0","3","0","0","1","0",76001,1,1,3
3054,NA,8,0,"0","0","4","0","0","0","1",76001,0,1,3
3054,NA,0,0,"0","0","0","0","0","0","0",76002,0,0,3
3055,"IND",0,0,"0","0","0","0","0","0","0",77002,1,0,3
3055,NA,5,0,"0","1","4","0","0","0","1",77001,0,1,3
3055,NA,11,0,"1","0","4","0","0","0","1",77001,0,1,3
3056,"IND",15,0,"0","1","1","1","0","0","0",78001,1,1,3
3056,NA,10,0,"0","1","2","0","1","0","0",78001,0,1,3
3056,NA,0,0,"0","0","0","0","0","0","0",78002,0,0,3
3057,"IND",13,0,"1","0","2","0","1","0","0",79001,1,1,3
3057,NA,16,0,"0","0","3","0","0","1","0",79001,0,1,3
3057,NA,0,0,"0","0","0","0","0","0","0",79002,0,0,3
3058,"IND",16,5,"0","0","3","0","0","1","0",80001,1,1,3
3058,NA,13,0,"1","0","2","0","1","0","0",80001,0,1,3
3058,NA,0,0,"0","0","0","0","0","0","0",80002,0,0,3
3059,"IND",0,0,"0","0","0","0","0","0","0",81002,1,0,3
3059,NA,12,0,"1","0","1","1","0","0","0",81001,0,1,3
3059,NA,1,0,"0","0","2","0","1","0","0",81001,0,1,3
4001,"IND",0,0,"0","0","0","0","0","0","0",82002,1,0,3
4001,NA,1,0,"0","0","2","0","1","0","0",82001,0,1,3
4001,NA,2,0,"1","0","3","0","0","1","0",82001,0,1,3
4002,"IND",2,0,"1","0","3","0","0","1","0",83001,1,1,3
4002,NA,8,0,"0","0","4","0","0","0","1",83001,0,1,3
4002,NA,0,0,"0","0","0","0","0","0","0",83002,0,0,3
4003,"IND",4,10,"1","1","4","0","0","0","1",84001,1,1,3
4003,NA,3,0,"0","0","1","1","0","0","0",84001,0,1,3
4003,NA,0,0,"0","0","0","0","0","0","0",84002,0,0,3
4004,"IND",4,0,"1","1","4","0","0","0","1",85001,1,1,3
4004,NA,15,0,"0","1","1","1","0","0","0",85001,0,1,3
4004,NA,0,0,"0","0","0","0","0","0","0",85002,0,0,3
4005,"IND",11,5,"1","0","4","0","0","0","1",86001,1,1,3
4005,NA,5,0,"0","1","4","0","0","0","1",86001,0,1,3
4005,NA,0,0,"0","0","0","0","0","0","0",86002,0,0,3
4006,"IND",7,5,"1","1","1","1","0","0","0",87001,1,1,3
4006,NA,6,0,"0","1","3","0","0","1","0",87001,0,1,3
4006,NA,0,0,"0","0","0","0","0","0","0",87002,0,0,3
4007,"IND",7,5,"1","1","1","1","0","0","0",88001,1,1,3
4007,NA,16,0,"0","0","3","0","0","1","0",88001,0,1,3
4007,NA,0,0,"0","0","0","0","0","0","0",88002,0,0,3
4008,"IND",3,5,"0","0","1","1","0","0","0",89001,1,1,3
4008,NA,8,0,"0","0","4","0","0","0","1",89001,0,1,3
4008,NA,0,0,"0","0","0","0","0","0","0",89002,0,0,3
4009,"IND",9,5,"1","1","3","0","0","1","0",90001,1,1,3
4009,NA,6,0,"0","1","3","0","0","1","0",90001,0,1,3
4009,NA,0,0,"0","0","0","0","0","0","0",90002,0,0,3
4010,"IND",14,5,"1","1","2","0","1","0","0",91001,1,1,3
4010,NA,10,0,"0","1","2","0","1","0","0",91001,0,1,3
4010,NA,0,0,"0","0","0","0","0","0","0",91002,0,0,3
4011,"IND",11,5,"1","0","4","0","0","0","1",92001,1,1,3
4011,NA,5,0,"0","1","4","0","0","0","1",92001,0,1,3
4011,NA,0,0,"0","0","0","0","0","0","0",92002,0,0,3
4012,"IND",12,10,"1","0","1","1","0","0","0",93001,1,1,3
4012,NA,1,0,"0","0","2","0","1","0","0",93001,0,1,3
