"STR","RES","ASC","sos","info","own"
88002,0,0,NA,NA,NA
90002,0,0,NA,NA,NA
92002,0,0,NA,NA,NA
93002,0,0,NA,NA,NA
96002,0,0,NA,NA,NA
97002,0,0,NA,NA,NA
99002,1,0,NA,NA,NA
102002,0,0,NA,NA,NA
104002,0,0,NA,NA,NA
105002,0,0,NA,NA,NA
107002,0,0,NA,NA,NA
109002,0,0,NA,NA,NA
110002,0,0,NA,NA,NA
111002,0,0,NA,NA,NA
112002,0,0,NA,NA,NA
114002,0,0,NA,NA,NA
115002,0,0,NA,NA,NA
116002,0,0,NA,NA,NA
118002,0,0,NA,NA,NA
120002,1,0,NA,NA,NA
122002,0,0,NA,NA,NA
123002,0,0,NA,NA,NA
125002,0,0,NA,NA,NA
127002,1,0,NA,NA,NA
130002,0,0,NA,NA,NA
132002,0,0,NA,NA,NA
133002,0,0,NA,NA,NA
134002,0,0,NA,NA,NA
135002,1,0,NA,NA,NA
136002,0,0,NA,NA,NA
140002,0,0,NA,NA,NA
142002,0,0,NA,NA,NA
143002,0,0,NA,NA,NA
144002,0,0,NA,NA,NA
146002,0,0,NA,NA,NA
148002,0,0,NA,NA,NA
150002,0,0,NA,NA,NA
153002,0,0,NA,NA,NA
155002,0,0,NA,NA,NA
158002,0,0,NA,NA,NA
160002,0,0,NA,NA,NA
167002,1,0,NA,NA,NA
168002,1,0,NA,NA,NA
169002,0,0,NA,NA,NA
170002,0,0,NA,NA,NA
178002,0,0,NA,NA,NA
179002,0,0,NA,NA,NA
180002,0,0,NA,NA,NA
184002,0,0,NA,NA,NA
188002,0,0,NA,NA,NA
191002,0,0,NA,NA,NA
192002,0,0,NA,NA,NA
194002,0,0,NA,NA,NA
195002,0,0,NA,NA,NA
196002,0,0,NA,NA,NA
197002,0,0,NA,NA,NA
198002,0,0,NA,NA,NA
202002,0,0,NA,NA,NA
203002,0,0,NA,NA,NA
2002,0,0,NA,NA,NA
3002,0,0,NA,NA,NA
6002,1,0,NA,NA,NA
9002,0,0,NA,NA,NA
10002,0,0,NA,NA,NA
12002,0,0,NA,NA,NA
13002,0,0,NA,NA,NA
14002,0,0,NA,NA,NA
16002,0,0,NA,NA,NA
19002,1,0,NA,NA,NA
21002,1,0,NA,NA,NA
23002,0,0,NA,NA,NA
26002,1,0,NA,NA,NA
28002,1,0,NA,NA,NA
29002,0,0,NA,NA,NA
31002,0,0,NA,NA,NA
32002,0,0,NA,NA,NA
33002,0,0,NA,NA,NA
36002,1,0,NA,NA,NA
37002,0,0,NA,NA,NA
40002,0,0,NA,NA,NA
43002,1,0,NA,NA,NA
44002,0,0,NA,NA,NA
45002,0,0,NA,NA,NA
52002,0,0,NA,NA,NA
53002,0,0,NA,NA,NA
55002,0,0,NA,NA,NA
57002,1,0,NA,NA,NA
58002,0,0,NA,NA,NA
59002,0,0,NA,NA,NA
60002,1,0,NA,NA,NA
62002,1,0,NA,NA,NA
64002,0,0,NA,NA,NA
67002,0,0,NA,NA,NA
68002,1,0,NA,NA,NA
69002,1,0,NA,NA,NA
70002,0,0,NA,NA,NA
72002,0,0,NA,NA,NA
74002,0,0,NA,NA,NA
75002,0,0,NA,NA,NA
77002,1,0,NA,NA,NA
79002,0,0,NA,NA,NA
81002,1,0,NA,NA,NA
82002,1,0,NA,NA,NA
84002,0,0,NA,NA,NA
86002,0,0,NA,NA,NA
87002,0,0,NA,NA,NA
89002,0,0,NA,NA,NA
91002,0,0,NA,NA,NA
94002,0,0,NA,NA,NA
95002,0,0,NA,NA,NA
98002,0,0,NA,NA,NA
100002,0,0,NA,NA,NA
101002,0,0,NA,NA,NA
103002,0,0,NA,NA,NA
106002,0,0,NA,NA,NA
108002,0,0,NA,NA,NA
113002,0,0,NA,NA,NA
117002,0,0,NA,NA,NA
119002,0,0,NA,NA,NA
121002,0,0,NA,NA,NA
124002,1,0,NA,NA,NA
126002,0,0,NA,NA,NA
128002,1,0,NA,NA,NA
129002,0,0,NA,NA,NA
131002,0,0,NA,NA,NA
137002,0,0,NA,NA,NA
138002,0,0,NA,NA,NA
139002,1,0,NA,NA,NA
141002,0,0,NA,NA,NA
145002,0,0,NA,NA,NA
147002,1,0,NA,NA,NA
149002,0,0,NA,NA,NA
151002,0,0,NA,NA,NA
152002,0,0,NA,NA,NA
154002,0,0,NA,NA,NA
156002,1,0,NA,NA,NA
157002,0,0,NA,NA,NA
159002,0,0,NA,NA,NA
161002,0,0,NA,NA,NA
162002,0,0,NA,NA,NA
163002,1,0,NA,NA,NA
164002,0,0,NA,NA,NA
165002,0,0,NA,NA,NA
166002,0,0,NA,NA,NA
171002,0,0,NA,NA,NA
172002,0,0,NA,NA,NA
173002,0,0,NA,NA,NA
174002,0,0,NA,NA,NA
175002,0,0,NA,NA,NA
176002,0,0,NA,NA,NA
177002,0,0,NA,NA,NA
181002,0,0,NA,NA,NA
182002,0,0,NA,NA,NA
183002,0,0,NA,NA,NA
185002,0,0,NA,NA,NA
186002,0,0,NA,NA,NA
187002,0,0,NA,NA,NA
189002,1,0,NA,NA,NA
190002,0,0,NA,NA,NA
193002,0,0,NA,NA,NA
199002,1,0,NA,NA,NA
200002,0,0,NA,NA,NA
201002,0,0,NA,NA,NA
204002,0,0,NA,NA,NA
205002,0,0,NA,NA,NA
