"","sos","info","own","fishtech","rank_one","education","wtp_predict","wtp_predict_int"
"31",0,0,"2",0,"pollution","formal",0.899704898567563,2.89024752147563
"32",0,0,"2",0,"pollution","higher",1.99345420862706,3.78428689201588
"33",0,0,"2",0,"pollution","no_formal",-0.76357367888742,0.667243894528145
"34",0,0,"2",0,"weather","formal",0.288705486765499,1.95982806229147
"35",0,0,"2",0,"weather","higher",1.29027446749361,2.85386743283171
"36",0,0,"2",0,"weather","no_formal",-1.23439328382745,-0.26317556465602
"37",0,0,"2",1,"corruption","formal",3.992382815453,5.82312813809845
"38",0,0,"2",1,"corruption","higher",5.55271861215666,6.71716750863869
"39",0,0,"2",1,"corruption","no_formal",1.61956019474461,3.60012451115096
"40",0,0,"2",1,"iuu","formal",2.77188604472932,4.55165686175127
"41",0,0,"2",1,"iuu","higher",4.14808779465646,5.44569623229152
"42",0,0,"2",1,"iuu","no_formal",0.679078426148642,2.32865323480378
"43",0,0,"2",1,"pollution","formal",2.23898109592867,4.05718129983783
"44",0,0,"2",1,"pollution","higher",3.53478448092468,4.95122067037807
"45",0,0,"2",1,"pollution","no_formal",0.268436300119578,1.83417767289034
"46",0,0,"2",1,"weather","formal",1.51510854235365,3.12676184065366
"47",0,0,"2",1,"weather","higher",2.70170263992057,4.0208012111939
"48",0,0,"2",1,"weather","no_formal",-0.289360292017779,0.903758213706173
"49",0,0,"3",0,"corruption","formal",1.38582779227469,3.34234256264397
"50",0,0,"3",0,"corruption","higher",2.55291754681233,4.23638193318421
"51",0,0,"3",0,"corruption","no_formal",-0.388980537966955,1.11933893569648
"52",0,0,"3",0,"iuu","formal",0.472928607645913,2.07087128629679
"53",0,0,"3",0,"iuu","higher",1.50229098330239,2.96491065683704
"54",0,0,"3",0,"iuu","no_formal",-1.09243593441214,-0.152132340650694
"55",0,0,"3",0,"pollution","formal",0.0743298526846052,1.57639572438335
"56",0,0,"3",0,"pollution","higher",1.04355638566483,2.47043509492359
"57",0,0,"3",0,"pollution","no_formal",-1.39958534358581,-0.646607902564141
"58",0,0,"3",0,"weather","formal",-0.467107601133455,0.645976265199181
"59",0,0,"3",0,"weather","higher",0.420433283970141,1.54001563573942
"60",0,0,"3",0,"weather","no_formal",-1.81680238697789,-1.57702736174831
"61",0,0,"3",1,"corruption","formal",2.81490803402702,4.50927634100617
"62",0,0,"3",1,"corruption","higher",4.19760043036945,5.40331571154641
"63",0,0,"3",1,"corruption","no_formal",0.712230006352522,2.28627271405868
"64",0,0,"3",1,"iuu","formal",1.73336417135,3.23780506465899
"65",0,0,"3",1,"iuu","higher",2.9528860841827,4.13184443519923
"66",0,0,"3",1,"iuu","no_formal",-0.121178413221974,1.0148014377115
"67",0,0,"3",1,"pollution","formal",1.26113016746665,2.74332950274554
"68",0,0,"3",1,"pollution","higher",2.40940702644396,3.63736887328578
"69",0,0,"3",1,"pollution","no_formal",-0.485069151662877,0.520325875798053
"70",0,0,"3",1,"weather","formal",0.619670119018338,1.81291004356137
"71",0,0,"3",1,"weather","higher",1.6711711098414,2.70694941410162
"72",0,0,"3",1,"weather","no_formal",-0.979360898531334,-0.410093583386112
"73",0,0,"4",0,"corruption","formal",1.30627127457264,3.67287204571587
"74",0,0,"4",0,"corruption","higher",2.46135848727378,4.56691141625611
"75",0,0,"4",0,"corruption","no_formal",-0.450284636647519,1.44986841876838
"76",0,0,"4",0,"iuu","formal",0.402760494403264,2.40140076936869
"77",0,0,"4",0,"iuu","higher",1.42153673910392,3.29544013990893
"78",0,0,"4",0,"iuu","no_formal",-1.14650558279175,0.178397142421199
"79",0,0,"4",0,"pollution","formal",0.00826099420260995,1.90692520745524
"80",0,0,"4",0,"pollution","higher",0.967519843064358,2.80096457799548
"81",0,0,"4",0,"pollution","no_formal",-1.45049621722739,-0.316078419492247
"82",0,0,"4",0,"weather","formal",-0.527608228323868,0.976505748271075
"83",0,0,"4",0,"weather","higher",0.350805041218332,1.87054511881132
"84",0,0,"4",0,"weather","no_formal",-1.86342253233679,-1.24649787867641
"85",0,0,"4",1,"corruption","formal",2.72065462148663,4.83980582407806
"86",0,0,"4",1,"corruption","higher",4.08912718317659,5.7338451946183
"87",0,0,"4",1,"corruption","no_formal",0.639600878403555,2.61680219713057
"88",0,0,"4",1,"iuu","formal",1.65023353270881,3.56833454773088
"89",0,0,"4",1,"iuu","higher",2.85721368281727,4.46237391827112
"90",0,0,"4",1,"iuu","no_formal",-0.185236632734854,1.34533092078339
"91",0,0,"4",1,"pollution","formal",1.18285606052423,3.07385898581743
"92",0,0,"4",1,"pollution","higher",2.3193238525586,3.96789835635768
"93",0,0,"4",1,"pollution","no_formal",-0.545385059331215,0.850855358869947
"94",0,0,"4",1,"weather","formal",0.547992892082802,2.14343952663327
"95",0,0,"4",1,"weather","higher",1.58868007481235,3.03747889717351
